genre_principal,genre_id,id,titre,titre_original,annee,date_sortie,note,nombre_votes,popularite,langue_originale,synopsis,adulte
Action,28,1168190,Team Démolition,The Wrecking Crew,2026,2026-01-28,6.844,569,235.2281,en,"Deux demi-frères brouillés, Jonny et James, se réunissent après la mort mystérieuse de leur père. Durant leur quête de la vérité, des secrets enfouis révèlent un complot qui menace de détruire leur famille.",False
Action,28,1426964,L'Appel du chaos,Salve Geral: Irmandade,2026,2026-02-10,4.273,22,225.4557,pt,"Alors qu'une vague de violence sans précédent secoue São Paulo, une avocate liée au milieu criminel doit négocier avec la police pour sauver sa nièce qui a été enlevée.",False
Action,28,1419406,The Shadow's Edge,捕风追影,2025,2025-08-16,7.203,427,197.3242,zh,"Un mystérieux mafieux et ses 7 fils adoptifs manipulent et ridiculisent la police en piratant le système de surveillance ultramoderne de la ville, dans le but de récupérer une fortune en crypto-monnaie. La police devenue impuissante doit faire appel à un ancien expert qui va s’associer avec une jeune policière à laquelle il est lié par un secret qu’elle ignore. Une partie d’échec commence alors, où les cerveaux et la loyauté seront mis à l’épreuve.",False
Action,28,1601243,Oscar Shaw,Oscar Shaw,2026,2026-01-09,6.368,19,168.4517,en,"Après avoir pris sa retraite de la police, un détective implacable hanté par la perte tragique de son ami le plus proche se lance dans une périlleuse quête de vengeance, cherchant la rédemption et luttant pour rendre justice aux rues qu'il avait autrefois juré de protéger.",False
Action,28,1242898,Predator : Badlands,Predator: Badlands,2025,2025-11-05,7.728,1939,169.0532,en,"Jugé trop faible et indigne par son père, chef de la tribu des Yautja, Dek est sur le point de se faire exécuter par son frère Kwei. Mais au dernier moment, celui-ci préfère se sacrifier pour favoriser sa fuite. Décidé à prouver son courage, le jeune paria se rend sur la planète Genna pour y capturer le Kalisk, un monstre réputé invincible. Confronté à une nature hostile et imprévisible, le guerrier inexpérimenté doit sa survie à Thia, une androïde privée de la partie inférieure de son corps depuis son affrontement avec le Kalisk. Avec l'aide de celle-ci, Dek amorce sa traque de la terrible créature, convoitée par des scientifiques pour ses formidables dons de régénération.",False
Action,28,1310568,La Reine du crime présente : Meurtre à l'Ambassade,Murder at the Embassy,2025,2025-11-14,5.7,32,115.3572,en,"1934. Miranda Green, détective privée, enquête sur un meurtre perpétré à l'ambassade britannique du Caire, où un document top secret a été volé, mettant en péril à la fois le palais de Buckingham et la paix du monde.",False
Action,28,1584215,The Internship,The Internship,2026,2026-01-13,6.233,45,110.5194,en,"Une tueuse surentrainée et sans pitié, élevée depuis son enfance dans un programme top-secret de la CIA uniquement connu sous le nom L’Internat, est prête à démanteler l’institution qui lui a volé sa jeunesse. Elle rassemble les autres internes et mène une insurrection sanglante, poussant la CIA à déployer des forces toutes aussi mortelles pour les arrêter.",False
Action,28,1271895,96 Minutes,96分鐘,2025,2025-09-05,5.818,44,102.9368,zh,"Après avoir embarqué dans un train à grande vitesse piégé, un homme mène une course contre la montre désespérée pour désamorcer une bombe et sauver la vie des passagers.",False
Action,28,1306368,The Rip,The Rip,2026,2026-01-13,7.057,1164,95.4009,en,La méfiance s'installe quand une équipe de flics de Miami découvre des millions en cash dans une planque délabrée. Plus personne ne sait quoi penser... ni à qui se fier.,False
Action,28,1043197,Dust Bunny,Dust Bunny,2025,2025-12-11,6.675,167,85.0571,en,"Aurora, dix ans, demande à un tueur à gages d'éliminer le monstre qui, selon elle, a dévoré toute sa famille. Pour la protéger, il devra affronter une horde d'assassins tout en acceptant l'idée que certains monstres existent bel et bien.",False
