id,titre,titre_original,annee,date_sortie,note,nombre_votes,popularite,langue_originale,synopsis,adulte
152601,Her,Her,2013,2013-12-18,7.841,15040,16.5316,en,"Los Angeles, dans un futur proche. Theodore Twombly, un homme sensible au caractère complexe, est inconsolable suite à une rupture difficile. Il fait alors l'acquisition d'un programme informatique ultramoderne, capable de s'adapter à la personnalité de chaque utilisateur. En lançant le système, il fait la connaissance de 'Samantha', une voix féminine intelligente, intuitive et étonnamment drôle. Les besoins et les désirs de Samantha grandissent et évoluent, tout comme ceux de Theodore, et peu à peu, ils tombent amoureux…",False
87101,Terminator Genisys,Terminator Genisys,2015,2015-06-23,5.947,8828,15.112,en,"Le leader de la résistance, John Connor, envoie le sergent Kyle Reese dans le passé, afin de protéger sa mère, Sarah Connor, et de préserver l’avenir de l’humanité. Des événements inattendus provoquent une fracture temporelle. Sarah et Kyle se retrouvent dans une nouvelle version du passé. Ils y découvrent un allié inattendu : le Guardian. Ensemble, ils doivent faire face à un nouvel ennemi cybernétique. La menace a changé de visage.",False
82633,Des hommes sans loi,Lawless,2012,2012-08-29,7.1,3252,13.1778,en,"1931, Au cœur de l’Amérique en pleine Prohibition, dans le comté de Franklin en Virginie, état célèbre pour sa production d’alcool de contrebande, les trois frères Bondurant sont des trafiquants notoires : Jack, le plus jeune, ambitieux et impulsif, veut transformer la petite affaire familiale en trafic d’envergure. Il rêve de beaux costumes, d’armes, et espère impressionner la sublime Bertha… Howard, le cadet, est le bagarreur de la famille. Loyal, son bon sens se dissout régulièrement dans l’alcool qu’il ne sait pas refuser… Forrest, l’aîné, fait figure de chef et reste déterminé à protéger sa famille des nouvelles règles qu’impose un nouveau monde économique. Lorsque Maggie débarque fuyant Chicago, il la prend aussi sous sa protection. Seuls contre une police corrompue, une justice arbitraire et des gangsters rivaux, les trois frères écrivent leur légende : une lutte pour rester sur leur propre chemin, au cours de la première grande ruée vers l’or du crime.",False
223702,Sausage Party,Sausage Party,2016,2016-07-11,5.751,7606,7.8477,en,"Après s'être échappée d'un sac de courses, une petite saucisse s'embarque dans une dangereuse quête pour découvrir les origines de son existence...",False
75736,Sans compromis,Catch.44,2011,2011-12-08,5.06,365,7.3837,en,"Tes, Dawn et Kara arrivent à peine à s'en sortir avec leurs petits boulots à Las Vegas. Mais leurs vies sont bouleversées lorsqu'elles acceptent de travailler pour un caïd local du nom de Mel. Leurs vies menacées, elles doivent faire face à un tueur à gages psychotique, un trafiquant et un cuisinier dépressif.",False
168672,American Bluff,American Hustle,2013,2013-12-03,6.854,7612,7.0188,en,"Années 1980. Un escroc particulièrement brillant, Irving Rosenfeld, et sa belle complice, Sydney Prosser, se retrouvent obligés par un agent du FBI, Richie DiMaso, de nager dans les eaux troubles de la mafia et du pouvoir pour piéger un homme politique corrompu, Carmine Polito. Le piège est risqué, d’autant que l’imprévisible épouse d’Irving, Rosalyn, pourrait bien tous les conduire à leur perte.",False
540901,Queens,Hustlers,2019,2019-09-12,6.472,3059,6.436,en,"Des stripteaseuses se lient d’amitié et décident de conjuguer leurs talents pour arnaquer et prendre leur revanche sur leurs riches clients de Wall Street. Leur plan fonctionne à merveille, mais argent et vie facile les poussent à prendre de plus en plus de risques…",False
97630,Zero Dark Thirty,Zero Dark Thirty,2012,2012-12-19,6.995,4794,6.3995,en,"La traque d’Oussama ben Laden a préoccupé le monde et deux administrations présidentielles américaines durant plus d’une décennie. Mais au final, on doit sa capture à la résolution et au dévouement d’une petite équipe d’agents de la CIA. Leurs missions ont été exécutées dans le secret, mais certains détails ont depuis été rendus publiques.",False
429197,Vice,Vice,2018,2018-12-25,7.013,3529,5.3319,en,"Fin connaisseur des arcanes de la politique américaine, Dick Cheney a réussi, sans faire de bruit, à se faire élire vice-président aux côtés de George W. Bush. Devenu l’homme le plus puissant du pays, il a largement contribué à imposer un nouvel ordre mondial dont on sent encore les conséquences aujourd’hui…",False
1401281,Le Testament d’Ann Lee,The Testament of Ann Lee,2025,2025-12-25,7.0,13,5.3043,en,"La chef religieuse Mère Ann Lee fonde le mouvement Shaker, proclamée par ses adeptes comme le Christ féminin et construit l'une des plus grandes sociétés utopiques de l'histoire américaine.",False
